Id,data
1,74
2,77
4,85
5,82
6,85
8,79
9,78
10,80
12,83
13,81
15,82
16,75
17,77
18,75
19,77
20,76
21,79
22,69
23,79
24,86
25,77
26,74
27,80
28,73
29,78
30,75
31,79
32,85
33,77
34,78
35,79
36,84
37,80
38,73
39,77
40,76
41,78
42,77
44,85
45,76
46,78
47,80
48,82
49,69
50,87
51,78
53,77
54,70
55,78
56,67
,
,77
