Year, Management, Business & financial operations, Computer & mathematical, Architecture & engineering,"Life, physical, & social science", Community & social services, Legal,"Education, training, & library","Entertainment, sports, & media"," Healthcare, practitioner & technical", Healthcare support, Protective service, Food preparation & serving, Building cleaning & maintenance, Personal care & service, Sales & related, Office & administrative support,"Farming, fishing, & forestry", Construction & extraction, Installation & maintenance, Production, Transportation & material moving,United States
2011,71.3,76.5,82.2,84.9,89.8,85.2,57.1,78.4,86,85.5,92.7,75.5,90,80.9,75.1,68.3,92.1,83.4,85.2,93.1,72.4,77.3,82.15
2012,71.6,74.7,81,83.7,82.8,94.4,53.8,75.7,83.9,78.7,90.2,78.2,89.8,81.2,75.2,62.2,89.9,82.5,97.6,93.6,71.4,74.9,80.83
2013,75.8,77.5,80.9,81.5,81,86.9,57.3,81.4,79.1,75.8,89,78,91.5,82.6,84.5,67.8,93.3,78,88.9,86.2,71.4,77.1,81.88
2014,77.5,75,81.2,82,85.2,88.2,56.7,78.6,85,78.3,87.9,69.6,90.5,79.9,75,67.8,90.9,82.1,91.3,88,70.6,76.8,82.65
