Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA
2011,74,77,85,82,85,79,78,80,83,81,82,75,77,75,77,76,79,69,79,86,77,74,80,73,78,75,79,85,77,78,79,84,80,73,77,76,78,77,85,76,78,80,82,69,87,78,77,70,78,67,82.15010142
2012,71,74,82,77,84,80,78,81,84,81,83,75,79,73,77,76,83,67,83,85,79,74,80,76,76,76,77,85,77,79,80,84,82,74,77,76,79,76,81,78,78,77,79,70,85,79,78,70,78,64,80.83389375
2013,76,76,84,77,84,80,78,83,84,83,83,76,79,74,78,79,78,66,81,85,82,75,80,77,79,74,74,83,78,80,82,86,83,70,77,74,80,76,82,78,75,83,79,70,83,79,80,69,79,69,81.87964841
2014,73,81,84,78,84,82,83,81,85,82,86,73,79,75,77,77,80,65,79,85,82,75,81,77,77,74,79,85,76,80,78,87,85,71,78,73,82,79,82,80,76,82,79,67,84,80,77,70,79,69,82.65306122
